ZIP,form,time_min,time_max,LAT,LNG,year,month,time_mean
29407,N-600,2.8,6.5,32.79893,-79.997803,2017,1,4.65
29407,I-485,7.4,24.2,32.79893,-79.997803,2017,1,15.8
29407,N-400,3.7,12.5,32.79893,-79.997803,2017,1,8.1
29650,N-400,9.3,18.1,34.898138,-82.258067,2017,1,13.700000000000001
29650,N-600,13,17.2,34.898138,-82.258067,2017,1,15.1
29650,I-485,9.8,20.4,34.898138,-82.258067,2017,1,15.1
30345,I-485,12.5,21.8,33.851722,-84.283624,2017,1,17.15
30345,N-400,13.5,26.9,33.851722,-84.283624,2017,1,20.2
30345,N-600,6,7.9,33.851722,-84.283624,2017,1,6.95
32216,I-485,7,17.2,30.277467,-81.582904,2017,1,12.1
32216,N-400,3.7,12.1,30.277467,-81.582904,2017,1,7.9
32216,N-600,5.1,7,30.277467,-81.582904,2017,1,6.05
32822,N-600,7,8.8,28.489898,-81.290154,2017,1,7.9
32822,N-400,8.4,18.1,28.489898,-81.290154,2017,1,13.25
32822,I-485,13,20,28.489898,-81.290154,2017,1,16.5
33015,I-485,9.3,17.2,25.940565,-80.31818,2017,1,13.25
33015,N-400,6,14.9,25.940565,-80.31818,2017,1,10.45
33015,N-600,5.1,7,25.940565,-80.31818,2017,1,6.05
33150,N-600,7,9.3,25.85219,-80.207174,2017,1,8.15
33150,N-400,14.4,20.9,25.85219,-80.207174,2017,1,17.65
33150,I-485,9.8,20.4,25.85219,-80.207174,2017,1,15.1
33186,N-600,7.4,9.8,25.654426,-80.412156,2017,1,8.600000000000001
33186,N-400,6,10.2,25.654426,-80.412156,2017,1,8.1
33186,I-485,9.8,17.2,25.654426,-80.412156,2017,1,13.5
33309,N-400,14.9,26.9,26.18599,-80.172721,2017,1,20.9
33309,N-600,7,8.8,26.18599,-80.172721,2017,1,7.9
33309,I-485,19.5,21.8,26.18599,-80.172721,2017,1,20.65
33411,I-485,9.3,16.7,26.720012,-80.193151,2017,1,13
33411,N-400,6,18.1,26.720012,-80.193151,2017,1,12.05
33411,N-600,6.5,8.4,26.720012,-80.193151,2017,1,7.45
33634,N-400,4.6,14.9,28.009826,-82.547789,2017,1,9.75
33634,N-600,10.7,13.9,28.009826,-82.547789,2017,1,12.3
33634,I-485,7.9,18.6,28.009826,-82.547789,2017,1,13.25
33916,N-400,11.2,15.8,26.637103,-81.838448,2017,1,13.5
33916,I-485,9.8,20.4,26.637103,-81.838448,2017,1,15.1
36109,I-485,9.8,19.5,32.388957,-86.242148,2017,1,14.65
36109,N-400,11.2,20,32.388957,-86.242148,2017,1,15.6
36109,N-600,7,8.8,32.388957,-86.242148,2017,1,7.9
37217,N-600,2.3,6.5,36.108666,-86.656722,2017,1,4.4
37217,N-400,11.6,13.9,36.108666,-86.656722,2017,1,12.75
37217,I-485,9.8,20.4,36.108666,-86.656722,2017,1,15.1
38103,I-485,7,20,35.15305,-90.054979,2017,1,13.5
38103,N-400,8.8,19.5,35.15305,-90.054979,2017,1,14.15
38103,N-600,7,9.3,35.15305,-90.054979,2017,1,8.15
40202,N-400,3.7,9.3,38.256783,-85.754048,2017,1,6.5
40202,I-485,6,15.8,38.256783,-85.754048,2017,1,10.9
40202,N-600,3.3,6.5,38.256783,-85.754048,2017,1,4.9
43215,I-485,9.8,20.4,39.966856,-83.01296,2017,1,15.1
43215,N-400,4.6,12.5,39.966856,-83.01296,2017,1,8.55
43215,N-600,4.2,6.5,39.966856,-83.01296,2017,1,5.35
45202,N-400,4.2,10.2,39.109356,-84.502584,2017,1,7.199999999999999
45202,I-485,9.8,20.4,39.109356,-84.502584,2017,1,15.1
45202,N-600,2.8,6.5,39.109356,-84.502584,2017,1,4.65
46204,I-485,7.4,19,39.771994,-86.156997,2017,1,13.2
46204,N-400,5.1,13.9,39.771994,-86.156997,2017,1,9.5
46204,N-600,4.2,6.5,39.771994,-86.156997,2017,1,5.35
48214,I-485,6,17.2,42.365116,-82.987644,2017,1,11.6
48214,N-400,11.2,15.8,42.365116,-82.987644,2017,1,13.5
48214,N-600,1.4,6.5,42.365116,-82.987644,2017,1,3.95
50309,N-400,11.2,15.8,41.584603,-93.620836,2017,1,13.5
50309,I-485,9.8,20.4,41.584603,-93.620836,2017,1,15.1
50309,N-600,7.9,10.2,41.584603,-93.620836,2017,1,9.05
53202,N-400,9.3,18.1,43.049579,-87.89252,2017,1,13.700000000000001
53202,I-485,13.5,20.4,43.049579,-87.89252,2017,1,16.95
53202,N-600,9.3,12.1,43.049579,-87.89252,2017,1,10.7
55401,N-400,14.9,23.2,44.984577,-93.269097,2017,1,19.05
55401,N-600,5.1,7,44.984577,-93.269097,2017,1,6.05
55401,I-485,13.9,24.6,44.984577,-93.269097,2017,1,19.25
60605,N-600,7,9.3,41.867566,-87.617228,2017,1,8.15
60605,N-400,8.4,17.2,41.867566,-87.617228,2017,1,12.8
